GOOG,google,Information Technology
AMZN,Amazon.com Inc,Consumer Discretionary
AAL,American Airlines Group,Industrials
AAPL,Apple Inc.,Information Technology
T,AT&T Inc,Telecommunications Services
WMT,Wal-Mart Stores,Consumer Staples
TSLA,Tesla,Automaker
WFC,Wells Fargo,Financials
YUM,Yum! Brands Inc,Consumer Discretionary
TWX,Time Warner Inc.,Consumer Discretionary
TGT,Target Corp.,Consumer Discretionary
LUV,Southwest Airlines,Industrials
PYPL,PayPal,Information Technology
NFLX,Netflix Inc.,Information Technology
CMCSA,Comcast Corp.,Consumer Discretionary
CMG,Chipotle Mexican Grill,Consumer Discretionary
PCLN,Priceline.com Inc,Consumer Discretionary
